Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status
21,Male,Graduate,Canada,4.8,Instagram,1.0,7.4,7,Single
19,Female,Undergraduate,India,7.4,WhatsApp,1.0,5.4,5,In Relationship
19,Female,Undergraduate,Ireland,4.2,Instagram,1.0,7.7,7,Single
20,Female,Undergraduate,USA,7.6,TikTok,1.0,4.7,5,In Relationship
21,Male,Graduate,India,4.8,Facebook,0.0,7.2,7,In Relationship
20,Male,Undergraduate,Cyprus,3.8,Facebook,0.0,6.6,7,Complicated
20,Male,Undergraduate,Yemen,4.7,Facebook,1.0,5.8,6,In Relationship
19,Female,Undergraduate,India,7.2,WhatsApp,1.0,5.6,5,In Relationship
21,Male,Graduate,New Zealand,4.4,Facebook,1.0,7.8,7,In Relationship
19,Female,Undergraduate,India,7.0,WhatsApp,1.0,5.8,5,In Relationship
22,Male,Graduate,Mexico,5.6,WhatsApp,1.0,6.6,6,Single
21,Female,Undergraduate,Finland,4.4,Instagram,0.0,7.4,7,In Relationship
21,Male,Graduate,Malaysia,5.7,WhatsApp,1.0,6.6,6,Single
20,Female,Undergraduate,Ireland,4.5,TikTok,1.0,7.4,7,Single
22,Male,Graduate,India,6.4,WhatsApp,1.0,5.9,5,In Relationship
22,Male,Graduate,Russia,3.8,VKontakte,0.0,8.2,7,Single
19,Female,Undergraduate,USA,7.0,TikTok,1.0,5.1,4,In Relationship
21,Male,Graduate,Denmark,2.8,Facebook,0.0,9.0,8,In Relationship
23,Male,Graduate,Spain,6.5,Facebook,1.0,6.1,5,Single
22,Male,Graduate,Russia,4.0,VKontakte,0.0,8.0,7,Single
23,Male,Graduate,Italy,4.8,Facebook,0.0,7.1,7,In Relationship
22,Male,Graduate,Canada,4.6,TikTok,1.0,7.6,6,Single
19,Female,Undergraduate,Japan,3.8,LINE,0.0,7.9,8,Single
22,Male,Graduate,Turkey,4.6,TikTok,1.0,7.6,6,Single
20,Female,Undergraduate,Ireland,4.7,TikTok,1.0,7.2,7,Single
19,Male,Undergraduate,Mexico,6.5,Facebook,1.0,6.1,5,Single
19,Female,High School,Slovenia,5.7,TikTok,1.0,5.4,5,In Relationship
22,Male,Graduate,Maldives,4.9,TikTok,1.0,4.9,6,In Relationship
21,Male,Graduate,UK,4.6,Facebook,1.0,7.0,6,In Relationship
20,Female,Undergraduate,Denmark,4.4,Instagram,0.0,7.4,7,In Relationship
22,Male,Graduate,Germany,4.0,Instagram,0.0,7.9,8,Single
19,Female,Undergraduate,USA,7.3,Instagram,1.0,5.0,5,In Relationship
20,Male,Undergraduate,USA,5.5,Twitter,1.0,6.8,6,In Relationship
19,Female,Undergraduate,Sri Lanka,4.3,Facebook,0.0,8.7,7,Single
22,Male,Graduate,Mexico,6.2,WhatsApp,1.0,6.0,6,Single
22,Male,Graduate,Sri Lanka,5.1,Facebook,1.0,5.1,6,Single
20,Female,Undergraduate,Bangladesh,4.3,Instagram,1.0,7.6,5,Single
19,Female,Undergraduate,USA,8.3,Instagram,1.0,4.0,5,In Relationship
19,Female,Undergraduate,Ireland,4.8,Instagram,1.0,7.1,7,Single
19,Female,High School,Nigeria,5.8,Instagram,1.0,5.4,5,Complicated
19,Female,Undergraduate,Romania,5.6,Instagram,1.0,5.6,5,In Relationship
19,Female,Undergraduate,Japan,2.9,LINE,0.0,8.7,8,Single
20,Female,Undergraduate,Pakistan,4.2,Instagram,1.0,7.4,5,In Relationship
21,Female,Undergraduate,Russia,6.7,Instagram,1.0,6.0,4,Single
19,Female,Undergraduate,Brazil,6.0,WhatsApp,1.0,6.5,6,Single
20,Female,Undergraduate,Morocco,4.5,TikTok,1.0,5.8,6,Single
21,Male,Graduate,Italy,5.3,TikTok,1.0,6.8,5,In Relationship
21,Male,Graduate,India,6.9,WhatsApp,1.0,5.4,5,In Relationship
22,Male,Graduate,Russia,4.8,VKontakte,0.0,7.2,7,Single
22,Male,Graduate,Germany,3.1,Facebook,0.0,8.4,8,In Relationship
19,Female,Undergraduate,Switzerland,3.3,Instagram,0.0,8.5,8,Single
20,Female,High School,Kosovo,5.5,Instagram,1.0,5.4,5,In Relationship
22,Male,Graduate,Turkey,4.8,TikTok,1.0,7.4,6,Single
22,Male,Graduate,India,4.8,Facebook,0.0,8.0,7,In Relationship
19,Female,Undergraduate,Ireland,3.2,Instagram,1.0,8.7,7,Single
22,Male,Graduate,Poland,6.3,TikTok,1.0,6.2,5,Single
20,Female,Undergraduate,Singapore,5.6,TikTok,1.0,6.5,6,Single
20,Female,Undergraduate,Ireland,3.3,TikTok,1.0,8.6,7,Single
20,Male,Undergraduate,Sri Lanka,5.9,Facebook,1.0,5.9,6,Single
19,Male,Undergraduate,Hong Kong,4.7,Instagram,1.0,5.8,6,In Relationship
22,Male,Graduate,Turkey,5.0,TikTok,1.0,7.2,6,Single
19,Female,Undergraduate,Japan,3.3,LINE,0.0,8.3,8,Single
23,Male,Graduate,UK,6.3,Twitter,1.0,6.2,5,Single
19,Male,Undergraduate,Austria,4.9,Instagram,1.0,5.8,6,Complicated
20,Female,Undergraduate,Ireland,3.5,TikTok,1.0,8.4,7,Single
20,Female,Undergraduate,UAE,6.7,Instagram,1.0,6.3,5,In Relationship
22,Male,Graduate,Russia,4.3,VKontakte,0.0,7.7,7,In Relationship
21,Male,Graduate,Italy,5.0,Instagram,1.0,7.1,5,Single
21,Male,Undergraduate,Nepal,3.8,YouTube,0.0,6.6,7,Single
19,Female,Undergraduate,USA,6.9,Instagram,1.0,5.2,4,Single
20,Female,Undergraduate,France,3.4,Instagram,0.0,8.6,7,In Relationship
22,Male,Graduate,Afghanistan,2.9,LinkedIn,0.0,7.0,7,Complicated
20,Female,Undergraduate,Sri Lanka,4.6,Facebook,0.0,8.1,7,Single
24,Male,Graduate,Bolivia,2.4,LinkedIn,0.0,7.2,8,Complicated
22,Male,Graduate,Germany,3.8,Instagram,0.0,7.7,8,Single
22,Male,Graduate,Italy,2.8,LinkedIn,0.0,7.2,8,Single
19,Female,Undergraduate,Qatar,4.9,TikTok,1.0,5.7,6,Single
21,Female,Graduate,India,5.6,Instagram,1.0,5.6,6,In Relationship
22,Female,Graduate,China,5.7,WeChat,1.0,6.7,6,In Relationship
22,Male,Graduate,India,7.2,Facebook,1.0,5.9,4,Single
19,Female,Undergraduate,Mexico,6.4,TikTok,1.0,6.2,5,Single
22,Male,Graduate,Poland,3.6,Facebook,0.0,8.5,7,Single
21,Male,Graduate,Maldives,5.4,TikTok,1.0,6.0,6,In Relationship
20,Female,Undergraduate,Australia,4.8,Facebook,0.0,7.2,7,In Relationship
18,Male,High School,Latvia,5.4,Snapchat,1.0,5.5,5,Single
20,Female,Undergraduate,Spain,4.3,TikTok,1.0,7.6,6,Single
20,Female,Undergraduate,Singapore,5.2,TikTok,1.0,6.9,6,Single
24,Female,Graduate,France,4.8,Twitter,0.0,7.3,7,In Relationship
19,Male,Undergraduate,Nepal,3.5,TikTok,0.0,8.5,7,Single
20,Female,Undergraduate,Maldives,4.4,Instagram,0.0,7.6,8,In Relationship
19,Female,Undergraduate,Spain,3.6,Instagram,1.0,8.3,6,Single
21,Male,Graduate,Mexico,6.3,WhatsApp,1.0,5.9,6,Single
22,Male,Graduate,Poland,4.0,Facebook,0.0,8.1,7,Single
22,Female,Graduate,Spain,6.3,TikTok,1.0,6.3,5,Single
23,Female,Graduate,Switzerland,2.5,LinkedIn,0.0,7.3,8,In Relationship
22,Male,Graduate,Canada,5.8,TikTok,1.0,6.6,6,Single
21,Male,Undergraduate,Turkey,6.8,Instagram,1.0,6.0,5,Single
21,Female,Undergraduate,Jordan,5.4,TikTok,1.0,5.5,5,In Relationship
24,Male,Graduate,Turkey,6.8,TikTok,1.0,6.2,5,Single
21,Female,Graduate,Pakistan,4.8,Instagram,1.0,6.8,5,In Relationship
21,Male,Undergraduate,Russia,3.7,YouTube,0.0,6.8,7,In Relationship
22,Male,Graduate,Mexico,6.4,WhatsApp,1.0,5.8,6,Single
21,Female,Undergraduate,Italy,4.8,TikTok,0.0,7.1,7,In Relationship
23,Female,Graduate,Taiwan,2.6,LinkedIn,0.0,7.2,8,Single
23,Female,Graduate,Turkey,6.7,Instagram,1.0,6.1,5,Single
24,Male,Graduate,Russia,6.9,Instagram,1.0,5.9,4,Single
21,Female,Undergraduate,Croatia,4.8,Instagram,1.0,5.8,6,Single
19,Female,Undergraduate,Spain,5.2,Instagram,1.0,6.8,6,Single
21,Male,Graduate,Malaysia,6.1,WhatsApp,1.0,6.2,6,Single
22,Male,Graduate,Germany,3.6,Instagram,0.0,7.9,8,Single
22,Male,Graduate,Poland,3.1,Facebook,0.0,7.1,7,Single
20,Female,Undergraduate,Finland,4.4,Instagram,0.0,7.4,7,In Relationship
21,Male,Graduate,Mexico,7.3,WhatsApp,1.0,4.9,6,Single
21,Female,Graduate,Maldives,3.4,Instagram,0.0,8.6,8,In Relationship
21,Male,Graduate,Maldives,5.0,TikTok,1.0,5.1,6,In Relationship
22,Male,Graduate,Mexico,6.6,WhatsApp,1.0,5.6,6,Single
20,Female,Undergraduate,Nepal,5.9,TikTok,1.0,5.2,6,Single
19,Female,Undergraduate,France,2.9,Instagram,0.0,9.1,7,In Relationship
21,Male,Graduate,New Zealand,4.2,Facebook,1.0,8.0,7,In Relationship
20,Female,Undergraduate,Netherlands,3.8,Instagram,0.0,8.2,8,Single
20,Female,Undergraduate,France,3.2,Instagram,0.0,8.8,7,In Relationship
22,Male,Graduate,Sri Lanka,5.5,Facebook,1.0,5.5,6,Single
20,Female,Undergraduate,Canada,5.6,Instagram,1.0,6.7,6,Single
18,Male,High School,Trinidad,5.6,TikTok,1.0,5.2,5,Single
22,Male,Graduate,France,4.7,Facebook,0.0,7.2,7,In Relationship
18,Male,High School,Belgium,5.3,TikTok,1.0,5.5,5,Single
21,Male,Graduate,Turkey,5.5,Instagram,1.0,6.7,6,Single
20,Female,Undergraduate,India,7.1,WhatsApp,1.0,5.7,5,In Relationship
22,Male,Graduate,Mexico,6.8,WhatsApp,1.0,5.4,6,Single
21,Male,Undergraduate,New Zealand,3.8,YouTube,0.0,6.6,7,Single
21,Male,Graduate,Turkey,5.3,Instagram,1.0,6.9,6,Single
20,Female,Undergraduate,South Korea,4.6,KakaoTalk,1.0,7.2,6,Single
22,Male,Graduate,Bangladesh,4.7,Facebook,1.0,6.9,5,Single
20,Female,Undergraduate,Switzerland,3.4,Instagram,0.0,8.4,8,Single
20,Female,Undergraduate,Australia,3.9,Instagram,0.0,7.9,7,Single
22,Male,Graduate,India,5.8,WhatsApp,1.0,6.5,5,In Relationship
22,Male,Graduate,China,5.8,WeChat,1.0,6.5,6,In Relationship
19,Female,Undergraduate,Spain,4.8,Instagram,1.0,7.1,6,Single
23,Male,Graduate,Canada,5.2,Instagram,1.0,7.0,6,In Relationship
19,Female,Undergraduate,Ireland,4.0,Instagram,1.0,7.9,7,Single
20,Female,Undergraduate,Spain,4.1,TikTok,1.0,7.8,6,Single
19,Female,Undergraduate,France,3.5,Instagram,0.0,8.5,7,In Relationship
19,Female,Undergraduate,Bangladesh,5.2,Instagram,1.0,6.5,6,In Relationship
22,Male,Graduate,Mexico,5.8,WhatsApp,1.0,6.4,6,Single
21,Male,Undergraduate,Egypt,3.9,YouTube,0.0,6.5,7,Complicated
20,Female,Undergraduate,South Korea,4.8,KakaoTalk,1.0,7.0,6,Single
19,Female,Undergraduate,France,4.3,Instagram,0.0,7.7,7,In Relationship
21,Male,Graduate,Canada,4.1,Instagram,1.0,8.1,6,Single
22,Male,Graduate,India,6.2,WhatsApp,1.0,6.1,5,In Relationship
21,Female,Graduate,South Korea,3.3,Instagram,0.0,7.0,7,In Relationship
22,Male,Graduate,Mexico,7.2,WhatsApp,1.0,5.0,6,Single
22,Male,Graduate,India,5.0,Facebook,0.0,7.6,7,In Relationship
19,Male,Undergraduate,China,5.6,WeChat,1.0,6.8,6,In Relationship
19,Female,Undergraduate,Japan,3.0,LINE,0.0,8.6,8,Single
19,Female,Undergraduate,USA,7.1,Instagram,1.0,5.2,5,In Relationship
24,Male,Graduate,Italy,4.7,Facebook,0.0,7.2,7,In Relationship
23,Female,Graduate,UK,6.1,TikTok,1.0,6.4,5,Single
20,Female,Undergraduate,Turkey,6.6,Instagram,1.0,6.1,5,Single
19,Female,Undergraduate,Ireland,4.6,Instagram,1.0,7.3,7,Single
19,Female,Undergraduate,Sri Lanka,5.1,Facebook,0.0,7.0,7,Single
20,Female,Undergraduate,Brazil,6.1,Instagram,1.0,6.4,6,Single
21,Male,Graduate,Malaysia,5.5,WhatsApp,1.0,6.8,6,Single
22,Male,Graduate,China,4.2,WeChat,0.0,8.1,7,In Relationship
20,Female,Undergraduate,South Korea,4.7,KakaoTalk,1.0,7.1,6,In Relationship
21,Female,Undergraduate,Spain,6.4,TikTok,1.0,6.2,5,Single
18,Female,High School,Armenia,5.9,Instagram,1.0,5.2,5,Complicated
22,Male,Graduate,Maldives,4.5,TikTok,1.0,4.1,6,In Relationship
22,Male,Graduate,Denmark,2.7,Facebook,0.0,9.1,8,In Relationship
19,Female,Undergraduate,Sri Lanka,4.7,Facebook,0.0,7.9,7,Single
19,Female,Undergraduate,USA,7.5,Instagram,1.0,4.8,5,In Relationship
19,Female,Undergraduate,Switzerland,2.5,Instagram,0.0,9.3,8,Single
20,Female,Undergraduate,Nepal,5.7,TikTok,1.0,5.6,6,Single
21,Female,Undergraduate,Turkey,6.7,Instagram,1.0,6.0,5,Single
22,Male,Graduate,Bangladesh,4.3,Facebook,1.0,7.3,5,Single
20,Female,Undergraduate,South Korea,4.4,KakaoTalk,1.0,7.4,6,Single
22,Male,Graduate,Pakistan,4.5,Instagram,1.0,6.7,5,In Relationship
23,Female,Graduate,Finland,4.4,Instagram,0.0,7.4,7,In Relationship
22,Male,Graduate,Greece,3.2,Facebook,0.0,6.9,7,In Relationship
20,Female,Undergraduate,Sri Lanka,4.8,Facebook,0.0,7.7,7,Single
19,Male,Undergraduate,Nepal,4.3,TikTok,0.0,7.7,7,Single
20,Female,Undergraduate,South Korea,5.2,KakaoTalk,1.0,6.5,6,In Relationship
20,Male,Undergraduate,Denmark,4.5,Twitter,0.0,7.3,7,In Relationship
22,Male,Graduate,India,6.8,WhatsApp,1.0,5.5,5,In Relationship
19,Female,Undergraduate,Pakistan,4.8,TikTok,1.0,5.7,6,In Relationship
21,Male,Graduate,Italy,5.2,TikTok,1.0,6.9,5,In Relationship
22,Female,Graduate,Malta,2.7,LinkedIn,0.0,7.2,8,In Relationship
24,Male,Graduate,France,4.8,Facebook,0.0,7.1,7,In Relationship
20,Female,Undergraduate,Netherlands,3.6,Instagram,0.0,8.4,8,Single
24,Female,Graduate,China,5.5,WeChat,1.0,6.8,6,In Relationship
20,Female,Undergraduate,UAE,6.5,Instagram,1.0,6.5,5,In Relationship
19,Female,Undergraduate,Japan,3.6,LINE,0.0,8.1,8,Single
20,Female,Undergraduate,Spain,3.7,TikTok,1.0,8.2,6,Single
21,Male,Graduate,UK,4.8,Facebook,1.0,6.8,6,In Relationship
20,Female,Undergraduate,USA,8.0,TikTok,1.0,4.3,5,In Relationship
19,Male,Undergraduate,France,4.8,Snapchat,1.0,6.2,5,Complicated
21,Male,Graduate,Canada,3.7,Instagram,1.0,8.5,6,Single
21,Male,Graduate,Denmark,3.6,Facebook,0.0,8.2,8,In Relationship
22,Male,Graduate,Israel,3.1,Facebook,0.0,6.8,7,Single
19,Female,Undergraduate,Netherlands,3.3,Instagram,0.0,8.7,8,Single
21,Male,Undergraduate,Poland,6.3,TikTok,1.0,6.3,5,Single
19,Female,Undergraduate,Spain,4.4,Instagram,1.0,7.5,6,Single
21,Male,Graduate,UK,5.2,Facebook,1.0,6.4,6,In Relationship
23,Male,Graduate,Belarus,2.5,LinkedIn,0.0,7.3,8,In Relationship
19,Female,Undergraduate,France,3.9,Instagram,0.0,8.1,7,In Relationship
19,Female,Undergraduate,Australia,7.2,Instagram,1.0,4.5,4,Complicated
21,Male,Graduate,Italy,5.4,Instagram,1.0,6.7,5,Single
20,Female,Undergraduate,USA,7.0,TikTok,1.0,5.3,5,In Relationship
20,Female,Undergraduate,Ireland,3.9,TikTok,1.0,8.0,7,Single
21,Female,Graduate,Pakistan,4.4,Instagram,1.0,7.2,5,In Relationship
20,Female,Undergraduate,Netherlands,3.4,Instagram,0.0,8.6,8,Single
19,Female,Undergraduate,Maldives,4.9,Instagram,1.0,5.8,6,Single
22,Male,Graduate,Mexico,7.0,WhatsApp,1.0,5.2,6,Single
22,Male,Graduate,Sri Lanka,4.7,Facebook,1.0,4.7,6,Single
19,Female,Undergraduate,USA,7.9,Instagram,1.0,4.4,5,In Relationship
21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,1.0,5.8,6,Single
21,Male,Graduate,Turkey,4.7,Instagram,1.0,7.5,6,Single
19,Female,Undergraduate,UAE,7.0,Instagram,1.0,6.0,5,In Relationship
20,Male,Undergraduate,Hungary,4.2,TikTok,1.0,6.0,6,Complicated
19,Female,Undergraduate,USA,8.5,Instagram,1.0,3.8,5,In Relationship
22,Male,Graduate,Poland,4.2,Facebook,0.0,7.9,7,Single
21,Male,Undergraduate,Panama,3.6,Facebook,0.0,6.5,7,In Relationship
19,Female,Undergraduate,USA,6.7,Instagram,1.0,5.8,4,Single
22,Male,Graduate,Poland,3.8,Facebook,0.0,8.3,7,Single
21,Male,Graduate,Canada,5.1,Instagram,1.0,7.1,6,Single
19,Male,Undergraduate,Ireland,5.8,Instagram,1.0,6.6,6,Single
22,Male,Graduate,Russia,4.2,VKontakte,0.0,7.8,7,Single
19,Male,High School,Andorra,5.3,TikTok,1.0,5.5,5,In Relationship
21,Male,Graduate,Pakistan,3.8,Instagram,1.0,8.1,5,In Relationship
22,Male,Graduate,India,4.6,Facebook,0.0,8.4,7,In Relationship
20,Female,Undergraduate,Australia,4.4,Facebook,0.0,7.4,7,In Relationship
20,Male,Undergraduate,Sri Lanka,5.2,TikTok,1.0,6.3,6,In Relationship
22,Male,Graduate,Canada,4.7,TikTok,1.0,7.5,7,Single
21,Male,Graduate,Canada,5.3,Instagram,1.0,6.9,6,Single
19,Female,Undergraduate,USA,6.8,Instagram,1.0,5.9,4,Single
21,Male,Graduate,UK,4.9,Instagram,1.0,6.7,6,Single
19,Female,Undergraduate,Spain,4.2,Instagram,1.0,7.7,6,Single
22,Male,Graduate,Denmark,3.1,Facebook,0.0,8.7,8,In Relationship
21,Male,Graduate,Mexico,6.7,WhatsApp,1.0,5.5,6,Single
23,Male,Graduate,Slovakia,2.3,LinkedIn,0.0,7.4,8,In Relationship
23,Female,Graduate,Bahamas,2.8,LinkedIn,0.0,7.0,8,In Relationship
24,Male,Graduate,Spain,6.5,Facebook,1.0,6.1,5,Single
21,Male,Graduate,Denmark,3.2,Facebook,0.0,8.6,8,In Relationship
19,Female,Undergraduate,UAE,6.6,Instagram,1.0,6.4,5,In Relationship
20,Female,Undergraduate,USA,8.2,TikTok,1.0,4.1,5,In Relationship
20,Female,Undergraduate,Australia,4.2,Facebook,0.0,7.6,7,In Relationship
22,Male,Graduate,Mexico,6.5,Facebook,1.0,6.1,5,Single
19,Female,Undergraduate,Bangladesh,4.2,Instagram,1.0,7.8,5,Single
22,Male,Graduate,Canada,4.2,TikTok,1.0,8.0,6,Single
20,Female,Undergraduate,Switzerland,2.2,Instagram,0.0,9.6,8,Single
20,Female,Undergraduate,Spain,4.9,TikTok,1.0,7.0,6,Single
18,Female,High School,Syria,5.6,Instagram,1.0,5.4,5,Single
20,Female,Undergraduate,Spain,5.5,TikTok,1.0,5.8,6,In Relationship
22,Male,Graduate,Russia,4.7,VKontakte,0.0,7.3,7,Single
21,Male,Graduate,UK,5.3,Instagram,1.0,6.3,6,Single
19,Male,Undergraduate,Iceland,4.6,Instagram,1.0,5.9,6,Complicated
20,Male,Undergraduate,Russia,6.9,Instagram,1.0,5.9,4,Single
20,Female,Undergraduate,USA,8.4,TikTok,1.0,3.9,5,In Relationship
20,Female,Undergraduate,USA,5.9,Instagram,1.0,6.7,6,In Relationship
20,Female,Undergraduate,Switzerland,2.4,Instagram,0.0,9.4,8,Single
20,Female,Undergraduate,UK,6.1,Twitter,1.0,6.4,5,Single
19,Female,Undergraduate,Bangladesh,5.3,Instagram,1.0,6.1,5,Single
20,Female,Undergraduate,Switzerland,3.0,Instagram,0.0,8.8,8,Single
20,Female,High School,Bhutan,5.5,Snapchat,1.0,5.5,5,Complicated
23,Female,Graduate,Iraq,2.5,LinkedIn,0.0,7.3,8,Single
22,Male,Graduate,China,5.6,WeChat,1.0,6.7,6,In Relationship
22,Male,Graduate,Germany,3.2,Instagram,0.0,8.3,8,Single
23,Female,Graduate,Italy,4.8,Twitter,0.0,7.1,7,In Relationship
19,Male,Undergraduate,Sri Lanka,5.7,TikTok,1.0,5.7,6,Single
22,Male,Graduate,Canada,4.0,TikTok,1.0,8.2,6,Single
22,Female,Graduate,Ireland,5.9,Instagram,1.0,6.5,6,Single
19,Female,Undergraduate,Switzerland,2.9,Instagram,0.0,8.9,8,Single
21,Female,Undergraduate,Denmark,4.6,Twitter,0.0,7.3,7,In Relationship
22,Male,Graduate,Turkey,5.4,TikTok,1.0,6.8,6,Single
21,Male,Graduate,India,5.1,Facebook,0.0,7.4,7,In Relationship
20,Female,Undergraduate,Switzerland,3.8,Instagram,0.0,8.0,8,Single
21,Female,Graduate,Maldives,3.8,Instagram,0.0,8.2,8,In Relationship
20,Female,Undergraduate,Bangladesh,4.1,Instagram,1.0,8.0,5,Single
20,Female,Undergraduate,France,4.4,Instagram,0.0,7.6,7,In Relationship
19,Female,Undergraduate,Switzerland,4.0,Instagram,0.0,7.9,8,Single
18,Female,High School,Mexico,6.5,Instagram,1.0,5.5,5,Single
23,Female,Graduate,San Marino,2.6,LinkedIn,0.0,7.3,8,Single
